ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
2025-01-01 00:00:00.000,C9330,192.168.1.207,61952,172.16.0.131,405,icmp,ssh,221.33,90838,89159,SF,T,F,69,Dd,92,62728,6,7497
2025-01-01 00:00:00.030,C5474,192.168.1.12,15105,172.16.0.152,622,icmp,ftp,213.18,44275,18818,S0,F,F,69,Dd,28,62721,35,14632
2025-01-01 00:00:00.060,C9309,192.168.1.63,24108,172.16.0.168,43,tcp,ssl,81.39,72933,86718,RSTR,T,F,59,Srv,73,14000,45,15733
2025-01-01 00:00:00.090,C2868,192.168.1.52,23834,172.16.0.240,59,tcp,dns,233.96,93500,9335,S1,T,F,57,Srv,45,61279,21,60510
2025-01-01 00:00:00.120,C2946,192.168.1.172,6791,172.16.0.68,47,udp,dns,226.5,35881,98591,SH,T,T,21,ShAD,45,1401,35,38361
2025-01-01 00:00:00.150,C8091,192.168.1.50,20361,172.16.0.57,141,udp,-,43.42,25102,40561,SH,F,F,94,Srv,97,11804,91,41156
2025-01-01 00:00:00.180,C8718,192.168.1.166,28233,172.16.0.11,340,icmp,ftp,228.37,40100,72522,S0,F,T,70,Dd,1,23978,91,25488
2025-01-01 00:00:00.210,C5777,192.168.1.45,32657,172.16.0.149,340,udp,ftp,75.97,95064,46234,RSTR,F,F,5,Hr,73,28865,3,30263
2025-01-01 00:00:00.240,C9098,192.168.1.1,55239,172.16.0.237,301,icmp,ssl,22.7,81831,32361,SF,F,T,85,Hr,9,1031,77,38995
2025-01-01 00:00:00.270,C8561,192.168.1.24,24834,172.16.0.102,742,icmp,ftp,286.22,77758,78300,S1,F,F,30,Dd,7,56923,15,74
2025-01-01 00:00:00.300,C2779,192.168.1.92,47839,172.16.0.157,379,tcp,dns,131.52,40599,72149,SF,T,F,17,Dd,39,51822,88,13218
2025-01-01 00:00:00.330,C1043,192.168.1.157,16771,172.16.0.224,545,tcp,dns,123.22,34294,35743,SH,F,T,38,Srv,66,65196,91,1407
2025-01-01 00:00:00.360,C2279,192.168.1.80,30775,172.16.0.79,942,icmp,ssl,116.77,76415,8868,REJ,F,F,48,Srv,36,14120,58,51368
2025-01-01 00:00:00.390,C6967,192.168.1.173,45412,172.16.0.132,757,icmp,ftp,178.95,44733,50068,SF,F,F,10,ShAD,22,40273,97,49470
2025-01-01 00:00:00.420,C5092,192.168.1.157,18708,172.16.0.70,128,udp,-,253.34,11146,69552,RSTR,F,T,12,Srv,5,12461,70,46274
2025-01-01 00:00:00.450,C3227,192.168.1.216,50082,172.16.0.150,738,udp,ftp,83.51,45924,50845,RSTR,T,F,42,ShAD,87,57254,85,46300
2025-01-01 00:00:00.480,C1785,192.168.1.158,5726,172.16.0.224,120,icmp,ftp,177.78,58326,66585,REJ,F,T,82,Srv,99,30290,90,62874
2025-01-01 00:00:00.510,C6420,192.168.1.163,48384,172.16.0.114,215,tcp,dns,135.21,65501,38897,S1,T,F,13,Hr,56,29841,99,11162
2025-01-01 00:00:00.540,C6881,192.168.1.28,56223,172.16.0.48,183,icmp,ftp,22.78,31048,24200,RSTR,F,T,51,Dd,74,29722,61,50581
2025-01-01 00:00:00.570,C9210,192.168.1.61,46998,172.16.0.218,305,icmp,ssl,120.01,14070,13992,SF,T,F,25,Dd,96,34370,26,62675
2025-01-01 00:00:00.600,C6643,192.168.1.196,47496,172.16.0.52,82,icmp,ssl,12.65,27340,93327,S1,T,T,90,Hr,22,28758,80,48672
2025-01-01 00:00:00.630,C9469,192.168.1.173,54286,172.16.0.44,266,tcp,ftp,277.83,48571,90003,SF,F,F,91,Srv,17,22266,37,57151
2025-01-01 00:00:00.660,C2154,192.168.1.249,32188,172.16.0.118,802,tcp,ssl,33.8,83146,93903,REJ,F,F,10,Dd,33,22641,53,44655
2025-01-01 00:00:00.690,C5490,192.168.1.246,14155,172.16.0.100,237,icmp,ftp,284.61,15285,48698,S0,T,T,18,Srv,93,37524,88,17436
2025-01-01 00:00:00.720,C2854,192.168.1.177,33491,172.16.0.132,112,icmp,-,133.39,28337,3202,SF,T,F,71,Fa,53,60486,88,41663
2025-01-01 00:00:00.750,C8545,192.168.1.177,3718,172.16.0.37,83,udp,ftp,167.25,14329,20724,SF,F,T,51,Hr,83,46404,7,53300
2025-01-01 00:00:00.780,C1774,192.168.1.158,58001,172.16.0.37,429,udp,-,8.22,57486,87233,S1,F,T,14,Fa,97,11602,57,35626
2025-01-01 00:00:00.810,C6223,192.168.1.173,43682,172.16.0.58,708,udp,-,2.13,67391,23887,REJ,F,T,34,Dd,10,7040,52,49834
2025-01-01 00:00:00.840,C4832,192.168.1.135,54446,172.16.0.41,231,udp,ssl,34.71,17612,18470,S0,T,T,73,Dd,31,54235,69,2746
2025-01-01 00:00:00.870,C2501,192.168.1.216,24763,172.16.0.56,230,icmp,-,249.9,40641,9679,REJ,T,F,39,Dd,17,20134,35,31006
2025-01-01 00:00:00.900,C8312,192.168.1.13,45598,172.16.0.63,427,tcp,http,286.29,53297,26383,S0,F,F,54,Hr,87,12376,95,4910
2025-01-01 00:00:00.930,C8469,192.168.1.230,24716,172.16.0.170,574,icmp,-,61.9,54338,9360,S1,F,F,90,ShAD,95,4695,31,9915
2025-01-01 00:00:00.960,C1671,192.168.1.153,44387,172.16.0.218,257,tcp,ftp,117.96,3838,12065,S1,F,T,64,ShAD,93,24171,70,51016
2025-01-01 00:00:00.990,C6829,192.168.1.48,11667,172.16.0.45,547,tcp,ssl,80.37,26026,40845,REJ,F,F,79,Fa,60,44296,11,63025
2025-01-01 00:00:01.020,C1390,192.168.1.167,30386,172.16.0.3,530,tcp,ssh,279.91,18479,86551,REJ,F,T,13,Hr,72,21511,42,42012
2025-01-01 00:00:01.050,C9708,192.168.1.206,8329,172.16.0.191,507,tcp,ftp,290.09,25107,47534,SF,F,T,85,ShAD,92,27161,35,46116
2025-01-01 00:00:01.080,C6961,192.168.1.168,33474,172.16.0.76,1021,icmp,ftp,95.66,34176,84386,S1,T,T,21,Dd,99,20707,7,58012
2025-01-01 00:00:01.110,C2926,192.168.1.68,8124,172.16.0.196,861,tcp,dns,93.09,38695,60072,S0,T,F,33,Srv,30,47375,78,10912
2025-01-01 00:00:01.140,C9708,192.168.1.237,31007,172.16.0.123,155,udp,ftp,219.28,68724,63982,S1,T,F,36,Srv,70,42241,15,20348
2025-01-01 00:00:01.170,C6889,192.168.1.49,18317,172.16.0.243,248,udp,ftp,71.05,17218,24165,RSTR,F,T,87,Hr,87,38209,8,18604
2025-01-01 00:00:01.200,C6947,192.168.1.157,18329,172.16.0.207,823,tcp,dns,293.23,70701,32221,REJ,F,T,96,Dd,33,35784,75,20736
2025-01-01 00:00:01.230,C8363,192.168.1.117,5183,172.16.0.129,964,tcp,ssl,256.51,3167,32172,SH,F,F,14,Srv,14,59718,99,10618
2025-01-01 00:00:01.260,C7584,192.168.1.12,61899,172.16.0.13,671,tcp,dns,266.13,19569,78898,S1,T,F,83,Dd,59,55028,70,30799
2025-01-01 00:00:01.290,C1047,192.168.1.140,20874,172.16.0.151,423,udp,-,96.12,86866,55681,REJ,F,F,33,Hr,9,18385,94,37899
2025-01-01 00:00:01.320,C6493,192.168.1.59,29232,172.16.0.201,94,icmp,ftp,18.61,73523,98536,SF,T,F,62,Dd,80,64301,65,61499
2025-01-01 00:00:01.350,C2406,192.168.1.232,51205,172.16.0.251,495,icmp,dns,135.24,77746,24542,RSTR,F,T,31,ShAD,76,20267,51,50788
2025-01-01 00:00:01.380,C1694,192.168.1.161,63949,172.16.0.87,886,udp,ssl,185.45,66897,23024,RSTR,F,T,91,Hr,15,42134,64,21662
2025-01-01 00:00:01.410,C3612,192.168.1.116,23230,172.16.0.89,570,udp,ssh,166.81,74466,45658,SH,T,T,44,Dd,57,25297,73,30829
2025-01-01 00:00:01.440,C2839,192.168.1.183,52745,172.16.0.60,960,udp,http,284.85,44695,46076,S0,F,F,42,Fa,79,60010,4,33097
2025-01-01 00:00:01.470,C8797,192.168.1.81,17648,172.16.0.234,506,udp,ssl,78.11,39282,27882,SF,T,T,18,Srv,58,1261,5,62872
2025-01-01 00:00:01.500,C1524,192.168.1.44,4936,172.16.0.41,687,tcp,-,220.1,24434,86455,SF,T,T,4,Fa,13,62014,71,52236
2025-01-01 00:00:01.530,C6109,192.168.1.120,53021,172.16.0.202,952,icmp,-,2.34,23307,13506,REJ,F,T,53,Srv,17,54283,74,57773
2025-01-01 00:00:01.560,C6992,192.168.1.204,57825,172.16.0.1,75,udp,dns,230.2,54562,32183,S0,F,T,49,Fa,68,61690,15,52957
2025-01-01 00:00:01.590,C6987,192.168.1.157,1325,172.16.0.118,157,udp,http,59.91,13941,33332,S0,F,F,75,Dd,46,16628,60,33797
2025-01-01 00:00:01.620,C6368,192.168.1.57,35006,172.16.0.194,979,udp,http,145.02,31977,12046,SF,T,F,8,Fa,21,28739,60,13284
2025-01-01 00:00:01.650,C1070,192.168.1.40,4178,172.16.0.167,836,udp,http,288.46,58946,40194,S0,F,F,96,Fa,46,19620,30,50615
2025-01-01 00:00:01.680,C8431,192.168.1.204,62718,172.16.0.180,315,icmp,ssh,266.84,91836,23522,SH,T,F,39,Hr,62,49988,95,28521
2025-01-01 00:00:01.710,C5176,192.168.1.178,53182,172.16.0.174,506,icmp,ssh,155.7,19900,9561,SF,T,F,93,Fa,49,20629,93,40768
2025-01-01 00:00:01.740,C8017,192.168.1.91,19125,172.16.0.92,681,tcp,dns,203.86,60342,1809,SH,F,T,96,Srv,20,48696,70,21237
2025-01-01 00:00:01.770,C7040,192.168.1.245,6810,172.16.0.151,648,tcp,http,85.48,76873,53213,S0,T,F,0,Fa,20,51862,54,56962
2025-01-01 00:00:01.800,C1531,192.168.1.20,1056,172.16.0.56,350,udp,ssh,268.51,76596,12916,SH,T,F,13,Fa,51,31013,63,22342
2025-01-01 00:00:01.830,C5038,192.168.1.218,51508,172.16.0.31,573,tcp,-,260.85,27867,12493,SF,F,F,2,ShAD,72,46401,7,40054
2025-01-01 00:00:01.860,C9881,192.168.1.1,19954,172.16.0.35,44,icmp,ssl,118.25,38234,41969,REJ,T,T,7,Srv,4,62949,32,12390
2025-01-01 00:00:01.890,C8827,192.168.1.154,39693,172.16.0.71,24,tcp,ssh,198.21,45659,55512,RSTR,F,T,27,Hr,40,39396,91,13243
2025-01-01 00:00:01.920,C2196,192.168.1.241,64212,172.16.0.37,750,udp,http,9.59,66310,54193,RSTR,T,F,5,Srv,2,20165,7,10785
